EntityID,AddressLine,Locality,AdminDistrict,PostalCode,CountryRegion,Phone,Manager,Latitude,Longitude
1334734,1028 MISSION ST,San Francisco,CA,28853,United States,,,37.78069438,-122.4096688
1334819,4384 MISSION ST,San Francisco,CA,28861,United States,,,37.72756654,-122.4329697
1353225,201 02ND ST,San Francisco,CA,28855,United States,,,37.78680165,-122.3978716
1400796,2615 24TH ST,San Francisco,CA,28859,United States,,,37.75281483,-122.4056626
1336685,1575 INDIANA ST,San Francisco,CA,28856,United States,,,37.75084961,-122.3900276
1339625,85 02ND ST,San Francisco,CA,28855,United States,,,37.78845703,-122.3998842
1334953,2590 MARIN ST,San Francisco,CA,58,United States,,,37.74837583,-122.4032006
1366269,1169 MARKET ST,San Francisco,CA,,United States,,,0,0
1367765,1355 MARKET ST,San Francisco,CA,28853,United States,,,37.77673621,-122.4163949
1301554,1 MONTGOMERY ST,San Francisco,CA,28854,United States,,,37.78924953,-122.4024186
1339634,1 MONTGOMERY ST,San Francisco,CA,28854,United States,,,37.78924953,-122.4024186
1337731,1900 19TH AVE,San Francisco,CA,29491,United States,,,37.75212416,-122.4758723
1337732,1199 ORTEGA ST,San Francisco,CA,55,United States,,,37.78350912,-122.4900712
1337735,630 BRANNAN ST,San Francisco,CA,28856,United States,,,37.77609875,-122.4002872
1367290,580 HOWARD ST,San Francisco,CA,28855,United States,,,37.78730425,-122.3980373
1332943,350 FREMONT ST,San Francisco,CA,28855,United States,,,37.78707653,-122.3929826
1377261,617 BRYANT ST,San Francisco,CA,28856,United States,,,37.77905111,-122.3983039
1377263,999 DIVISADERO ST,San Francisco,CA,29490,United States,,,37.7783843,-122.4387824
1332937,355 BERRY ST,San Francisco,CA,310,United States,,,37.77236391,-122.397041
1332939,350 08TH ST,San Francisco,CA,28853,United States,,,37.77369415,-122.4096584
1337734,530 05TH ST,San Francisco,CA,28856,United States,,,37.77687639,-122.4002596
1332944,355 FREMONT ST,San Francisco,CA,28855,United States,,,37.78732242,-122.3922237
1332941,1690 FOLSOM ST,San Francisco,CA,28853,United States,,,37.77013758,-122.4159834
1332935,245 01ST ST,San Francisco,CA,28855,United States,,,37.7879001,-122.394594
1332946,701 16TH ST,San Francisco,CA,,United States,,,0,0
1330246,200 LARKIN ST,San Francisco,CA,28852,United States,,,37.78021548,-122.4160258
1330245,111 BATTERY ST,San Francisco,CA,28854,United States,,,37.79236679,-122.4001483
1353436,306 VALENCIA ST,San Francisco,CA,28853,United States,,,37.76785527,-122.4224844
1330244,451 MONTGOMERY ST,San Francisco,CA,28854,United States,,,37.79357693,-122.4032299
1331430,475 CALIFORNIA ST,San Francisco,CA,28854,United States,,,37.79234639,-122.4023853
1331556,100 POST ST,San Francisco,CA,28857,United States,,,37.78923328,-122.4055791
1331554,701 HOWARD ST,San Francisco,CA,28853,United States,,,37.78351335,-122.4008134
1332936,Assessors Block 3905/Lot011,San Francisco,CA,28853,United States,,,37.76855707,-122.4096102
1332940,355 11TH ST,San Francisco,CA,28853,United States,,,37.77146722,-122.4128723
1332949,620 MENDELL ST,San Francisco,CA,58,United States,,,37.73937867,-122.3863379
1332938,420 BERRY ST,San Francisco,CA,310,United States,,,37.77200866,-122.3990838
1332947,Assessors Block 4341/Lot001,San Francisco,CA,58,United States,,,37.74895036,-122.4014932
1332942,147 FREMONT ST,San Francisco,CA,28855,United States,,,37.79018557,-122.3954717
1332948,491 BAY SHORE BLVD,San Francisco,CA,,United States,,,0,0
1377260,501 BEALE ST,San Francisco,CA,28856,United States,,,37.78623677,-122.3890662
1332945,401 HARRISON ST,San Francisco,CA,,United States,,,0,0
1337729,2600 INGALLS ST,San Francisco,CA,58,United States,,,37.72262922,-122.3900618
1337733,1650 20TH AVE,San Francisco,CA,28862,United States,,,37.75798419,-122.4334658
1331548,2 MONTGOMERY ST,San Francisco,CA,28854,United States,,,37.78939198,-122.4018247
1377262,1219 07TH AVE,San Francisco,CA,56,United States,,,37.76549699,-122.4645976
1337730,1100 ORTEGA ST,San Francisco,CA,56,United States,,,37.75266052,-122.4754735
1337736,2045 EVANS AVE,San Francisco,CA,58,United States,,,37.74777209,-122.3970317
1339633,540 HOWARD ST,San Francisco,CA,28855,United States,,,37.78795496,-122.3972365
1366268,979 MARKET ST,San Francisco,CA,28853,United States,,,37.78228077,-122.4095312
1301557,425 CALIFORNIA ST,San Francisco,CA,28854,United States,,,37.79279574,-122.4013533
1331549,1 THE EMBARCADERO,San Francisco,CA,28860,United States,,,37.79464383,-122.3996443
1331555,5 THE EMBARCADERO,San Francisco,CA,28855,United States,,,37.794331,-122.3958111
1344203,567 BAY ST,San Francisco,CA,,United States,,,0,0
1344202,900 BEACH ST,San Francisco,CA,28858,United States,,,37.80774329,-122.4241499
1334950,400 PARNASSUS AVE,San Francisco,CA,56,United States,,,37.76386403,-122.4583917
1377259,501 02ND ST,San Francisco,CA,28856,United States,,,37.7831711,-122.392901
1338128,777 MARIPOSA ST,San Francisco,CA,28856,United States,,,37.76381128,-122.3912654
1337774,60 SPEAR ST,San Francisco,CA,28855,United States,,,37.79253599,-122.3945932
1334952,1420 04TH ST,San Francisco,CA,310,United States,,,37.76989775,-122.3910983
1336106,120 ELLIS ST,San Francisco,CA,28852,United States,,,37.78561009,-122.4081548
1330588,1450 MISSION ST,San Francisco,CA,28853,United States,,,37.77522831,-122.4174661
1337904,1550 04TH ST,San Francisco,CA,310,United States,,,37.76912441,-122.3914749
1331663,120 ELLIS ST,San Francisco,CA,28852,United States,,,37.78561009,-122.4081548
1331664,300 PINE ST,San Francisco,CA,,United States,,,0,0
